date,store,item,price,promotion,inventory,sales
2022-01-01,1,1,477.82,0,118,24
2022-01-01,1,2,200.17,0,72,29
2022-01-01,1,3,75.39,0,46,25
2022-01-01,1,4,132.53,0,120,25
2022-01-01,1,5,53.18,0,87,26
2022-01-01,1,6,488.19,0,59,25
2022-01-01,1,7,403.33,0,111,28
2022-01-01,1,8,436.97,0,49,23
2022-01-01,1,9,79.27,0,100,28
2022-01-01,1,10,158.46,0,114,35
2022-01-01,1,11,272.83,0,57,36
2022-01-01,1,12,143.57,0,51,28
2022-01-01,1,13,486.31,0,102,35
2022-01-01,1,14,306.7,0,120,39
2022-01-01,1,15,224.9,0,85,40
2022-01-01,1,16,323.17,1,105,45
2022-01-01,1,17,124.37,0,58,38
2022-01-01,1,18,52.48,0,69,39
2022-01-01,1,19,370.1,0,103,43
2022-01-01,1,20,432.52,1,89,58
2022-01-01,2,1,78.6,0,81,18
2022-01-01,2,2,449.25,0,102,18
2022-01-01,2,3,487.27,0,59,26
2022-01-01,2,4,285.23,0,62,28
2022-01-01,2,5,247.7,0,98,27
2022-01-01,2,6,362.98,0,69,27
2022-01-01,2,7,292.93,0,82,35
2022-01-01,2,8,413.65,1,117,41
2022-01-01,2,9,255.44,0,110,29
2022-01-01,2,10,413.35,0,107,26
2022-01-01,2,11,152.57,0,60,38
2022-01-01,2,12,279.84,0,61,33
2022-01-01,2,13,361.6,0,110,32
2022-01-01,2,14,283.46,0,104,33
2022-01-01,2,15,487.3,0,105,30
2022-01-01,2,16,324.3,0,59,38
2022-01-01,2,17,64.87,0,65,44
2022-01-01,2,18,251.5,0,124,35
2022-01-01,2,19,352.46,0,96,39
2022-01-01,2,20,334.54,0,135,46
2022-01-01,3,1,417.39,0,99,21
2022-01-01,3,2,68.35,0,64,25
2022-01-01,3,3,149.11,0,67,28
2022-01-01,3,4,128.46,0,80,28
2022-01-01,3,5,282.99,0,105,29
2022-01-01,3,6,466.11,0,93,32
2022-01-01,3,7,346.99,0,109,30
2022-01-01,3,8,498.31,0,67,36
2022-01-01,3,9,447.19,0,67,29
2022-01-01,3,10,453.7,0,72,29
2022-01-01,3,11,449.5,0,80,36
2022-01-01,3,12,122.36,0,124,39
2022-01-01,3,13,343.38,0,91,39
2022-01-01,3,14,130.47,0,60,33
2022-01-01,3,15,345.93,1,85,44
2022-01-01,3,16,487.85,0,110,40
2022-01-01,3,17,334.01,1,98,51
2022-01-01,3,18,438.88,0,127,47
2022-01-01,3,19,307.4,0,108,43
2022-01-01,3,20,216.57,1,111,55
2022-01-01,4,1,242.68,1,78,27
2022-01-01,4,2,192.61,1,71,34
2022-01-01,4,3,471.27,0,71,28
2022-01-01,4,4,352.01,0,76,34
2022-01-01,4,5,283.25,0,81,29
2022-01-01,4,6,369.01,0,89,31
2022-01-01,4,7,414.21,0,63,31
2022-01-01,4,8,52.33,0,87,32
2022-01-01,4,9,342.48,0,131,36
2022-01-01,4,10,62.43,1,129,44
2022-01-01,4,11,352.41,0,112,31
2022-01-01,4,12,315.87,0,102,34
2022-01-01,4,13,420.17,0,60,33
2022-01-01,4,14,147.12,0,60,36
2022-01-01,4,15,428.91,0,111,37
2022-01-01,4,16,109.74,0,84,35
2022-01-01,4,17,229.47,0,129,48
2022-01-01,4,18,363.19,1,71,51
2022-01-01,4,19,120.4,0,112,45
2022-01-01,4,20,470.58,0,58,38
2022-01-01,5,1,382.05,1,124,38
2022-01-01,5,2,210.19,0,105,29
2022-01-01,5,3,91.31,0,106,25
2022-01-01,5,4,263.38,0,92,25
2022-01-01,5,5,205.84,1,73,44
2022-01-01,5,6,449.01,1,106,35
2022-01-01,5,7,331.64,0,123,35
2022-01-01,5,8,327.13,0,131,32
2022-01-01,5,9,61.93,0,78,35
2022-01-01,5,10,308.02,0,87,35
2022-01-01,5,11,295.53,0,87,35
2022-01-01,5,12,143.01,0,87,39
2022-01-01,5,13,95.35,0,63,36
2022-01-01,5,14,356.73,0,92,39
2022-01-01,5,15,273.22,0,130,36
2022-01-01,5,16,380.78,1,97,57
2022-01-01,5,17,296.59,1,127,59
2022-01-01,5,18,107.46,0,79,36
2022-01-01,5,19,302.84,1,101,59
2022-01-01,5,20,96.41,0,77,41
2022-01-01,6,1,273.45,0,56,18
2022-01-01,6,2,54.88,0,60,22
2022-01-01,6,3,193.69,0,122,34
2022-01-01,6,4,197.9,0,104,32
2022-01-01,6,5,405.33,0,87,29
2022-01-01,6,6,75.14,1,88,34
2022-01-01,6,7,207.91,1,68,42
2022-01-01,6,8,150.16,0,66,38
2022-01-01,6,9,367.81,1,137,47
2022-01-01,6,10,389.02,1,131,42
2022-01-01,6,11,266.75,0,135,42
2022-01-01,6,12,100.04,1,129,43
2022-01-01,6,13,232.34,0,136,45
2022-01-01,6,14,342.14,0,61,41
2022-01-01,6,15,156.88,0,82,38
2022-01-01,6,16,150.62,1,67,42
2022-01-01,6,17,490.06,1,145,46
2022-01-01,6,18,496.83,0,101,46
2022-01-01,6,19,486.19,0,87,54
2022-01-01,6,20,498.12,0,121,48
2022-01-01,7,1,455.52,0,60,33
2022-01-01,7,2,341.08,0,50,23
2022-01-01,7,3,312.65,0,115,19
2022-01-01,7,4,123.18,0,95,30
2022-01-01,7,5,473.24,0,80,36
2022-01-01,7,6,469.73,0,48,24
2022-01-01,7,7,219.41,0,115,33
2022-01-01,7,8,423.12,0,97,29
2022-01-01,7,9,260.91,1,110,36
2022-01-01,7,10,415.81,1,66,42
2022-01-01,7,11,299.94,1,141,44
2022-01-01,7,12,163.15,0,104,40
2022-01-01,7,13,152.89,0,134,43
2022-01-01,7,14,274.17,0,119,46
2022-01-01,7,15,284.07,0,66,42
2022-01-01,7,16,406.32,0,83,47
2022-01-01,7,17,62.95,0,131,46
2022-01-01,7,18,456.42,1,145,62
2022-01-01,7,19,207.76,0,109,39
2022-01-01,7,20,206.71,1,122,65
2022-01-01,8,1,459.71,0,50,26
2022-01-01,8,2,256.71,0,55,19
2022-01-01,8,3,166.21,0,101,29
2022-01-01,8,4,144.11,0,91,29
2022-01-01,8,5,84.14,0,101,26
2022-01-01,8,6,443.44,0,79,33
2022-01-01,8,7,127.54,0,110,30
2022-01-01,8,8,296.92,0,54,30
2022-01-01,8,9,142.85,0,99,35
2022-01-01,8,10,91.53,0,93,27
2022-01-01,8,11,86.79,0,57,37
2022-01-01,8,12,318.78,0,109,38
2022-01-01,8,13,216.71,0,146,49
2022-01-01,8,14,386.36,0,73,40
2022-01-01,8,15,109.9,0,83,46
2022-01-01,8,16,289.68,0,79,45
2022-01-01,8,17,381.83,0,82,46
2022-01-01,8,18,197.37,0,104,41
2022-01-01,8,19,204.32,0,75,38
2022-01-01,8,20,291.7,0,100,47
2022-01-01,9,1,313.94,0,43,18
2022-01-01,9,2,323.4,1,116,38
2022-01-01,9,3,493.93,0,63,22
2022-01-01,9,4,214.41,0,55,32
2022-01-01,9,5,89.55,1,140,42
2022-01-01,9,6,166.06,1,110,40
2022-01-01,9,7,373.31,1,98,34
2022-01-01,9,8,134.17,0,132,45
2022-01-01,9,9,278.42,0,67,34
2022-01-01,9,10,311.56,0,66,36
2022-01-01,9,11,194.29,1,70,41
2022-01-01,9,12,297.01,0,65,44
2022-01-01,9,13,414.44,0,80,44
2022-01-01,9,14,262.92,0,94,37
2022-01-01,9,15,206.99,0,139,44
2022-01-01,9,16,466.9,0,128,45
2022-01-01,9,17,428.82,0,80,47
2022-01-01,9,18,421.31,0,101,45
2022-01-01,9,19,349.34,1,112,51
2022-01-01,9,20,417.47,0,109,51
2022-01-01,10,1,454.85,0,111,29
2022-01-01,10,2,154.5,0,121,36
2022-01-01,10,3,457.91,0,50,25
2022-01-01,10,4,378.75,0,92,31
2022-01-01,10,5,407.31,0,80,34
2022-01-01,10,6,118.25,0,87,41
2022-01-01,10,7,65.09,0,133,40
2022-01-01,10,8,419.57,0,87,37
2022-01-01,10,9,255.65,0,63,36
2022-01-01,10,10,153.16,0,142,47
2022-01-01,10,11,55.49,0,89,44
2022-01-01,10,12,205.56,0,78,48
2022-01-01,10,13,204.14,1,115,50
2022-01-01,10,14,460.33,0,118,37
2022-01-01,10,15,165.21,0,133,46
2022-01-01,10,16,60.36,0,101,51
2022-01-01,10,17,240.86,0,77,47
2022-01-01,10,18,100.96,0,88,48
2022-01-01,10,19,133.84,0,120,47
2022-01-01,10,20,316.07,0,94,54
2022-01-02,1,1,384.91,0,69,24
2022-01-02,1,2,229.18,0,64,20
2022-01-02,1,3,465.33,1,60,24
2022-01-02,1,4,64.78,0,84,14
2022-01-02,1,5,309.93,0,71,30
2022-01-02,1,6,145.71,0,92,24
2022-01-02,1,7,482.48,0,109,27
2022-01-02,1,8,275.99,1,52,32
2022-01-02,1,9,228.79,0,117,36
2022-01-02,1,10,135.81,0,94,30
2022-01-02,1,11,426.45,0,92,26
2022-01-02,1,12,290.51,0,93,36
2022-01-02,1,13,96.34,0,54,32
2022-01-02,1,14,171.84,0,88,35
2022-01-02,1,15,61.42,0,65,38
2022-01-02,1,16,149.89,0,112,34
2022-01-02,1,17,317.77,0,112,42
2022-01-02,1,18,157.18,0,85,32
2022-01-02,1,19,494.93,1,91,56
2022-01-02,1,20,350.64,0,77,44
2022-01-02,2,1,453.35,0,103,24
2022-01-02,2,2,459.78,0,106,18
2022-01-02,2,3,166.74,0,61,30
2022-01-02,2,4,205.34,1,53,25
2022-01-02,2,5,182.51,0,63,30
2022-01-02,2,6,364.48,0,71,27
2022-01-02,2,7,112.71,0,80,24
2022-01-02,2,8,461.43,0,91,30
2022-01-02,2,9,173.32,0,134,39
2022-01-02,2,10,54.95,0,81,35
2022-01-02,2,11,443.25,1,120,48
2022-01-02,2,12,461.49,0,85,40
2022-01-02,2,13,396.91,0,101,28
2022-01-02,2,14,87.26,0,87,32
2022-01-02,2,15,80.71,0,91,36
2022-01-02,2,16,183.7,0,116,43
2022-01-02,2,17,348.65,0,92,40
2022-01-02,2,18,292.93,0,122,41
2022-01-02,2,19,119.6,1,142,50
2022-01-02,2,20,377.68,0,132,52
2022-01-02,3,1,245.67,0,89,26
2022-01-02,3,2,52.36,1,59,28
2022-01-02,3,3,91.21,0,91,25
2022-01-02,3,4,481.18,0,55,28
2022-01-02,3,5,391.57,0,121,30
2022-01-02,3,6,270.24,0,68,34
2022-01-02,3,7,73.22,0,63,28
2022-01-02,3,8,131.26,1,65,39
2022-01-02,3,9,363.84,0,111,33
2022-01-02,3,10,263.4,1,98,40
2022-01-02,3,11,285.1,0,82,39
2022-01-02,3,12,104.26,0,62,40
